,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
en,13.99292687062471,8.242860257248747,20.188697526827024,11.253784850907152,5.350386357580602,2.905796574861323,1.808734830317564,1.4528982874306617,2.327592471477364,3.4234430637308337,1.18378024852845,3.995833636121406,2.9360753821185477,2.334132693844924,2.2825376062786136,1.6914952886175907,2.932441925247681,1.5769202819562531,1.9453528086621614,2.2338492842089965,0.8298815493060097,0.3960467989244968,1.068478550492939,0.6709783688200954,0.18361068720780951,1.5088535232420124,0.9715863672698205,0.19862897560739284,0.11239493253881742
zh-S,12.381662318300409,26.29612374207976,2.21393961982855,1.4321654863958255,19.219157659336563,4.581625046589638,1.4107342527021989,2.5642937010808793,0.0810659709280656,0.5907566157286619,1.748975027953783,0.5255311218784942,4.173499813641446,2.1925083861349237,1.9371971673499815,1.8365635482668659,5.310286992172942,2.2521431233693625,1.7163622810286991,1.9921729407379793,0.29258292955646664,0.7994781960491987,0.328922847558703,0.3606038017144987,0.0,2.4832277301528136,1.226239284383153,0.03913529631010064,0.013045098770033545
ja,28.22522771184102,16.248964946177203,3.5771460115926024,1.6974882693900082,11.35247032845708,3.7234336185481647,1.669886834115374,4.584598399116754,0.27325420921887933,0.8887662158432239,0.5658294231300027,1.636765111785813,2.202594534915815,1.714049130554789,3.5191829975158697,2.103229367927132,5.536847916091636,2.6718189345845986,2.227435826662987,1.3745514766767872,0.2870549268561965,0.767319900634833,0.477504830251173,0.28429478332873315,0.0,1.5042782224675686,0.8666850676235164,0.002760143527463428,0.016560861164780567
de,22.260748959778084,7.942672214516875,5.4507628294036055,17.216828478964402,4.900601017105872,1.9417475728155338,1.2020342117429494,4.655570966250578,0.6010171058714748,2.071197411003236,1.4886731391585761,3.6846971798428116,2.1636615811373097,4.549237170596394,2.0064724919093853,2.3901987979657884,3.6569579288025893,2.1081830790568654,2.5381414701803053,1.9371243643088303,1.0078594544613964,0.24503005085529356,1.5349052242256125,0.3652334720295885,0.04623208506703652,1.2066574202496532,0.716597318539066,0.09246417013407304,0.01849283402681461
zh-T,15.772787318361955,23.936591809775432,2.3778071334214,1.5984147952443857,15.667107001321003,4.87450462351387,1.2417437252311756,3.8837516512549533,0.09247027741083222,1.0171730515191544,1.0964332892998678,1.1624834874504626,3.9233817701453106,1.598414795244386,3.21003963011889,2.430647291941876,5.455746367239102,2.192866578599736,1.9550858652575958,2.1928665785997357,0.15852047556142668,0.27741083223249674,0.2906208718626156,0.26420079260237783,0.0,2.2457067371202113,1.083223249669749,0.0,0.0
fr,13.37620578778135,12.282958199356914,7.604501607717042,13.102893890675238,7.009646302250803,2.8938906752411575,2.041800643086817,3.520900321543408,0.3536977491961415,1.5755627009646305,1.2379421221864952,2.1864951768488745,2.942122186495177,6.784565916398714,1.5273311897106108,2.781350482315113,4.54983922829582,2.1864951768488745,2.0257234726688105,1.9774919614147912,1.045016077170418,0.2090032154340836,2.282958199356913,0.22508038585209006,0.27331189710610937,2.379421221864952,0.9807073954983924,0.6270096463022508,0.01607717041800643
es,13.485342019543975,12.703583061889251,11.140065146579804,8.697068403908796,8.06188925081433,1.9381107491856675,2.866449511400652,2.6221498371335508,0.08143322475570032,2.0846905537459284,1.3680781758957656,5.814332247557003,2.8827361563517915,6.612377850162867,2.035830618892508,1.7100977198697067,4.234527687296417,1.7589576547231272,1.791530944625407,2.263843648208469,0.993485342019544,0.22801302931596087,1.1889250814332246,0.37459283387622144,0.0,1.8729641693811072,0.993485342019544,0.08143322475570032,0.11400651465798044
pt,12.890173410404625,20.231213872832367,7.341040462427746,9.421965317919074,9.190751445086706,2.4277456647398847,4.1618497109826595,1.502890173410405,1.0404624277456649,2.7167630057803467,0.7514450867052024,0.8092485549132948,2.601156069364162,5.722543352601157,0.8670520231213876,2.023121387283237,4.39306358381503,1.2138728323699424,1.5028901734104045,1.6184971098265897,0.9826589595375724,0.2890173410404625,1.329479768786127,0.46242774566473993,0.0,1.0982658959537575,0.5202312138728324,2.8901734104046244,0.0
nl,26.26436781609196,4.482758620689655,5.977011494252873,15.0,3.8505747126436782,2.1839080459770117,0.28735632183908044,6.149425287356321,0.05747126436781609,1.7241379310344827,2.3563218390804592,0.22988505747126436,1.4367816091954022,6.091954022988506,3.505747126436782,2.701149425287356,3.8505747126436782,2.988505747126437,4.71264367816092,0.9770114942528736,1.7241379310344827,0.689655172413793,0.632183908045977,0.11494252873563218,0.0,1.6091954022988506,0.4022988505747126,0.0,0.0
